age,gender,occasion,budget,gift
22,Male,Birthday,1000,Smart Watch
25,Female,Anniversary,5000,Jewelry Set
10,Male,Birthday,500,Teddy Bear
30,Female,Valentine,1000,Perfume Set
40,Male,Anniversary,2000,Watch
15,Female,Birthday,800,Soft Toy
35,Male,Valentine,1200,Perfume Set
28,Female,Birthday,150,Coffee Mug
45,Male,Anniversary,3000,Handbag
20,Female,Graduation,2500,Smart Watch
50,Male,Retirement,500,Photo Frame
18,Female,Birthday,600,Bluetooth Speaker
27,Male,Valentine,200,Chocolate Box
24,Female,Birthday,300,Gift Hamper
8,Male,Birthday,400,Teddy Bear
33,Female,Anniversary,4000,Jewelry Set
29,Male,Birthday,1500,Smart Watch
60,Female,Retirement,1000,Photo Frame
21,Male,Graduation,800,Wallet
23,Female,Valentine,50,Greeting Cards
40,Male,Birthday,600,Bluetooth Speaker
30,Female,Birthday,250,Chocolate Box
35,Male,Anniversary,3500,Jewelry Set
26,Female,Graduation,400,LED Lamp
31,Male,Valentine,300,Personalized Gifts
12,Female,Birthday,200,Soft Toy
45,Male,Birthday,100,Coffee Mug
38,Female,Anniversary,5000,Handbag
22,Male,Valentine,100,Chocolate Box
19,Female,Birthday,800,Smart Watch
27,Male,Anniversary,2000,Perfume Set
34,Female,Birthday,1500,Handbag
8,Female,Birthday,300,Teddy Bear
50,Male,Anniversary,4000,Jewelry Set
25,Female,Valentine,600,Perfume Set
29,Male,Graduation,1000,Smart Watch
40,Female,Birthday,200,Photo Frame
55,Male,Retirement,800,Bluetooth Speaker
24,Female,Valentine,150,Greeting Cards
22,Male,Birthday,3000,Smart Watch
